"phecode"	"case_count"	"prev"	"w"
"289.3"	51	0.00235012211418829	2.62890957086006
"289.4"	2195	0.101147412561633	0.995045222379856
"289.5"	271	0.0124879037832358	1.90351045608359
"289.8"	130	0.00599050734989171	2.22253639465116
"289.9"	207	0.00953873093405834	2.02050940150108
"290"	1674	0.0771393023362979	1.11272429330075
"290.1"	935	0.0430855720934519	1.36566813608548
"290.11"	378	0.0174185521404544	1.75898794712077
"290.12"	97	0.00446984009953458	2.34970801269175
"290.13"	400	0.0184323303073591	1.73441975563003
"290.16"	186	0.00857103359292198	2.06696680274008
"290.2"	899	0.0414266623657896	1.38272005522477
"290.3"	829	0.0382010045620018	1.41792521640772
"291"	2149	0.0990276945762868	1.00424333146655
"291.1"	104	0.00479240587991337	2.31944640765922
"291.4"	105	0.00483848670568177	2.31529044788806
"291.8"	2028	0.0934519146583107	1.0294117962967
"292"	3648	0.168102852403115	0.774424917301618
"292.1"	926	0.0426708446615363	1.36986876027606
"292.11"	383	0.0176489562692963	1.75328097298937
"292.12"	29	0.00133634394728354	2.87408174905904
"292.2"	120	0.00552969909220773	2.25729850091037
"292.3"	1103	0.0508271508225427	1.29390423451781
"292.4"	2134	0.0983364821897608	1.00728533186955
